127.0.0.1 - - [29/Aug/2016:07:48:58 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in1.jpg HTTP/1.1" 200 246096
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in1-3.jpg HTTP/1.1" 200 159040
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in2-1.jpg HTTP/1.1" 200 218672
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in2-2.jpg HTTP/1.1" 200 332883
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in1-1.jpg HTTP/1.1" 200 157975
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in1-2.jpg HTTP/1.1" 200 181675
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in3.jpg HTTP/1.1" 200 400045
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in2-3.jpg HTTP/1.1" 200 1055349
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/images/in2.jpg HTTP/1.1" 200 1264729
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:02 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:03 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:49:08 +0530] "GET /Music/product HTTP/1.1" 500 7840
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/product HTTP/1.1" 200 7792
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [29/Aug/2016:07:52:43 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
